시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동,산여부,법정동코드,PNU
부산광역시 연제구 연산동,1405-38,1405,0038,하이트빌A동,월세,16.28,202603,"1,000",30,3,2012,부산광역시,연제구,연산동,0,2647010200,2647010200014050038
부산광역시 수영구 수영동,470-10,0470,0010,수영빌라,월세,25.78,202603,200,30,2,1997,부산광역시,수영구,수영동,0,2650010200,2650010200004700010
부산광역시 수영구 광안동,120-52,0120,0052,보람스퀘어,월세,14.47,202603,500,42,2,2019,부산광역시,수영구,광안동,0,2650010400,2650010400001200052
부산광역시 수영구 광안동,1066-7,1066,0007,트라움하우스9차,전세,15.19,202603,"6,000",0,3,2016,부산광역시,수영구,광안동,0,2650010400,2650010400010660007
부산광역시 연제구 연산동,1310-16,1310,0016,연제큐브,월세,16.48,202603,500,40,3,2013,부산광역시,연제구,연산동,0,2647010200,2647010200013100016
부산광역시 사상구 괘법동,525-42,0525,0042,쉐르빌,월세,18.65,202603,"1,000",35,4,2013,부산광역시,사상구,괘법동,0,2653010400,2653010400005250042
부산광역시 사상구 주례동,183-7,0183,0007,JSsignature,월세,14.8227,202603,500,55,12,2020,부산광역시,사상구,주례동,0,2653010600,2653010600001830007
부산광역시 수영구 광안동,688-11,0688,0011,센텀라온빌,월세,22.82,202603,"1,000",45,5,2016,부산광역시,수영구,광안동,0,2650010400,2650010400006880011
부산광역시 수영구 광안동,97-5,0097,0005,태원빌,월세,15.64,202603,300,33,2,2009,부산광역시,수영구,광안동,0,2650010400,2650010400000970005
부산광역시 수영구 수영동,453-9,0453,0009,세영시티빌,월세,19.52,202603,500,34,5,2012,부산광역시,수영구,수영동,0,2650010200,2650010200004530009
부산광역시 부산진구 개금동,527-88,0527,0088,그린하우스,월세,17.71,202603,"1,800",22,3,2012,부산광역시,부산진구,개금동,0,2623011100,2623011100005270088
부산광역시 서구 동대신동2가,252-3,0252,0003,베스트원룸,월세,16.3,202603,500,43,5,2013,부산광역시,서구,동대신동2가,0,2614010200,2614010200002520003
부산광역시 서구 부용동2가,49-2,0049,0002,신성노블레스R,월세,16.72,202603,200,35,9,2018,부산광역시,서구,부용동2가,0,2614010800,2614010800000490002
부산광역시 부산진구 전포동,363-65,0363,0065,아르젠빌,월세,15.91,202603,500,29,2,2010,부산광역시,부산진구,전포동,0,2623010200,2623010200003630065
부산광역시 해운대구 재송동,1076-3,1076,0003,트윈빌B,월세,18.61,202603,300,34,4,2011,부산광역시,해운대구,재송동,0,2635010400,2635010400010760003
부산광역시 부산진구 전포동,347-15,0347,0015,친경빌,월세,27.05,202603,"1,000",32,5,2013,부산광역시,부산진구,전포동,0,2623010200,2623010200003470015
부산광역시 북구 덕천동,404-3,0404,0003,행복빌,월세,18.085,202603,"2,000",38,3,2016,부산광역시,북구,덕천동,0,2632010400,2632010400004040003
부산광역시 남구 대연동,639-29,0639,0029,금양하이원,월세,19.61,202603,500,33,3,2009,부산광역시,남구,대연동,0,2629010600,2629010600006390029
